state,county,pop2018,65plus2018,dens2019,cases,first_case,deaths,first_death,stay_home_date,r_percent,d_percent,g_percent,l_percent,poverty,obesity
Texas,San Patricio County,66893,10021,96.47,188.0,2020-03-26,0.0,,2020-04-02,60.4471714777,36.3733556454,0.525263793985,2.65420908288,15.7,0.292
Texas,San Saba County,6054,1446,5.33,0.0,,0.0,,2020-04-02,86.0237892948,12.4468988955,0.16992353441,1.35938827528,24.0,0.299
Texas,Schleicher County,2895,567,2.21,0.0,,0.0,,2020-04-02,77.7039848197,19.8292220114,0.189753320683,2.2770398482,14.55,0.298
Texas,Scurry County,16866,2548,18.63,18.0,2020-04-16,0.0,,2020-04-02,83.6913134385,13.9327124121,0.418171450295,1.95780269911,16.45,0.295
Texas,Shackelford County,3253,665,3.56,0.0,,0.0,,2020-04-02,91.7443408788,6.85752330226,0.0,1.39813581891,12.95,0.314
Texas,Shelby County,25418,4451,31.95,1106.0,2020-03-27,0.0,,2020-04-02,79.0454144621,19.3672839506,0.231481481481,1.35582010582,25.3,0.336
Texas,Sherman County,3079,459,3.34,90.0,2020-04-16,0.0,,2020-04-02,86.4951768489,10.2893890675,0.32154340836,2.89389067524,15.25,0.296
Texas,Smith County,230221,38010,249.84,2675.0,2020-03-13,42.0,2020-03-26,2020-04-02,70.5030002044,26.6086266399,0.408845492478,2.47952766321,15.45,0.282
Texas,Somervell County,9016,1705,48.35,0.0,,0.0,,2020-04-02,82.7141382869,13.9318885449,0.593395252838,2.76057791538,13.35,0.284
Texas,Starr County,64525,7313,52.75,182.0,2020-03-27,0.0,,2020-04-02,18.9718586947,79.086476777,0.581643999658,1.36002052861,38.9,0.293
Texas,Stephens County,9433,1864,10.52,17.0,2020-04-10,0.0,,2020-04-02,87.8366637706,10.0781928758,0.202722270489,1.88242108312,20.35,0.293
Texas,Sterling County,1311,189,1.42,0.0,,0.0,,2020-04-02,86.7298578199,11.0584518167,0.789889415482,1.42180094787,19.4,0.292
Texas,Stonewall County,1362,361,1.49,0.0,,0.0,,2020-04-02,79.1726105563,19.2582025678,0.142653352354,1.42653352354,13.25,0.287
Texas,Sutton County,3758,690,2.58,0.0,,0.0,,2020-04-02,75.9717314488,22.1201413428,0.353356890459,1.55477031802,12.2,0.29
